plot_code,province,area_rai,month,qa,analysis_mode,coverage_pct,scenes_used,scene_ids,green_observed_rai,yellow_observed_rai,red_observed_rai,water_observed_rai,unknown_observed_rai,green_rai,yellow_rai,red_rai,mean_fcd_score
43-VSD,พังงา,122.82,2024-03,GOOD,single_scene_good,100.0,1,['S2A_MSIL2A_20240314T034531_R104_T47PMK_20240314T092007'],39.3374,80.4231,0.0,3.0596,0.0,40.2185,82.2245,0.0,68.655
43-VSD,พังงา,122.82,2025-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20250331T033539_R061_T47PMK_20250331T072416'],101.0908,19.7311,0.0,1.9981,0.0,102.4472,19.9959,0.0,79.084
43-VSD,พังงา,122.82,2026-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20260321T033541_R061_T47PMK_20260321T090910'],108.7085,13.1125,0.0,0.999,0.0,109.2637,13.1794,0.0,87.0399
43-VSD,พังงา,122.82,2026-08,PARTIAL,single_scene_partial,53.08,1,['S2B_MSIL2A_20260803T033539_R061_T47PMK_20260803T072631'],0.2498,63.4393,0.0,1.4986,57.6324,,,,64.3822
44-VSD,พังงา,221.07,2024-03,GOOD,single_scene_good,100.0,1,['S2A_MSIL2A_20240321T033541_R061_T47PMK_20240321T091052'],183.6524,37.1053,0.0,0.3123,0.0,183.3478,37.0437,0.0,81.7601
44-VSD,พังงา,221.07,2025-03,GOOD,single_scene_good,99.35,1,['S2B_MSIL2A_20250331T033539_R061_T47PMK_20250331T072416'],191.0859,26.9232,0.0,1.6241,1.4367,193.1741,27.2174,0.0,83.5436
44-VSD,พังงา,221.07,2026-03,GOOD,single_scene_good,99.75,1,['S2C_MSIL2A_20260321T033541_R061_T47PMK_20260321T090910'],200.6434,18.6776,0.0,1.1869,0.5622,201.6228,18.7687,0.0,88.2664
44-VSD,พังงา,221.07,2026-08,PARTIAL,same_month_multi_scene_composite,87.57,3,"['S2B_MSIL2A_20260803T033539_R061_T47PMK_20260803T072631', 'S2C_MSIL2A_20260801T034531_R104_T47PMK_20260801T082610', 'S2A_MSIL2A_20260813T035201_R104_T47PMK_20260813T100908']",56.5325,135.2406,0.0,1.8115,27.4854,,,,48.8795
66-VSD,ตรัง,97.17,2024-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20240316T033539_R061_T47NNJ_20240316T081224'],0.9385,2.5028,93.7287,0.0,0.0,0.9373,2.4994,93.6033,29.164
66-VSD,ตรัง,97.17,2025-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20250326T033601_R061_T47NNJ_20250326T085914'],0.1251,6.0066,91.0382,0.0,0.0,0.125,5.9986,90.9164,49.7411
66-VSD,ตรัง,97.17,2026-03,GOOD,single_scene_good,100.0,1,['S2A_MSIL2A_20260313T034201_R061_T47NNJ_20260313T083010'],0.9385,12.9518,83.2796,0.0,0.0,0.9373,12.9345,83.1682,36.0436
66-VSD,ตรัง,97.17,2026-08,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20260803T033539_R061_T47NNJ_20260803T072631'],2.3776,20.335,74.4574,0.0,0.0,2.3744,20.3078,74.3578,48.9721
85-VSD,สตูล,599.58,2024-03,GOOD,single_scene_good,98.63,1,['S2A_MSIL2A_20240321T033541_R061_T47NPH_20240321T091048'],446.4944,128.1212,11.0192,5.7275,8.2177,454.6643,130.4656,11.2208,79.9611
85-VSD,สตูล,599.58,2025-03,GOOD,single_scene_good,99.09,1,['S2B_MSIL2A_20250331T033539_R061_T47NPH_20250331T072416'],253.441,315.4472,16.9334,8.2799,5.4785,257.9961,321.1168,17.2378,72.1163
85-VSD,สตูล,599.58,2026-03,GOOD,single_scene_good,98.67,1,['S2C_MSIL2A_20260321T033541_R061_T47NPH_20260321T090910'],375.0877,194.7966,13.0113,8.7157,7.9687,383.7459,199.2931,13.3117,76.0779
85-VSD,สตูล,599.58,2026-08,PARTIAL,same_month_multi_scene_composite,74.36,2,"['S2B_MSIL2A_20260803T033539_R061_T47NPH_20260803T072631', 'S2B_MSIL2A_20260823T033529_R061_T47NPH_20260823T072632']",235.6983,158.6263,49.8042,1.7431,153.7081,,,,67.7371
86-VSD,สตูล,1141.96,2024-03,GOOD,single_scene_good,99.98,1,['S2A_MSIL2A_20240321T033541_R061_T47NPH_20240321T091048'],820.0912,297.6475,18.9151,5.0565,0.2497,819.482,297.4264,18.901,77.017
86-VSD,สตูล,1141.96,2025-03,GOOD,single_scene_good,99.14,1,['S2C_MSIL2A_20250326T033601_R061_T47NPH_20250326T085914'],525.8772,562.5837,38.829,4.8692,9.8009,529.8515,566.8354,39.1225,71.6698
86-VSD,สตูล,1141.96,2026-03,GOOD,single_scene_good,99.62,1,['S2C_MSIL2A_20260321T033541_R061_T47NPH_20260321T090910'],865.1628,243.6489,19.6018,9.1766,4.3698,870.8333,245.2458,19.7303,77.7783
86-VSD,สตูล,1141.96,2026-08,GOOD,single_scene_good,99.5,1,['S2B_MSIL2A_20260803T033539_R061_T47NPH_20260803T072631'],1020.1667,97.6968,12.4228,5.9305,5.7432,1025.1517,98.1742,12.4835,80.3492
87-VSD,สมุทรสงคราม,92.92,2024-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20240326T033539_R061_T47PNQ_20240326T091647'],83.4663,8.3342,0.0,1.1195,0.0,83.8841,8.3759,0.0,43.599
87-VSD,สมุทรสงคราม,92.92,2025-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20250326T033601_R061_T47PNQ_20250326T085914'],80.6053,11.2574,0.0,1.0573,0.0,80.9539,11.3061,0.0,28.0671
87-VSD,สมุทรสงคราม,92.92,2026-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20260301T033701_R061_T47PNQ_20260301T091613'],87.3846,5.1,0.0,0.4354,0.0,87.1724,5.0876,0.0,65.742
87-VSD,สมุทรสงคราม,92.92,2026-08,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20260803T033539_R061_T47PNQ_20260803T072631'],90.1834,2.7366,0.0,0.0,0.0,89.5428,2.7172,0.0,71.9728
88-VSD,ปัตตานี,257.66,2024-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20240323T032519_R018_T47NQH_20240323T080736'],124.3596,110.8544,0.0,22.446,0.0,135.6389,120.9088,0.0,49.44
88-VSD,ปัตตานี,257.66,2025-03,GOOD,same_month_multi_scene_composite,100.0,3,"['S2A_MSIL2A_20250325T033151_R018_T47NQH_20250325T111922', 'S2B_MSIL2A_20250308T032519_R018_T47NQH_20250308T062224', 'S2C_MSIL2A_20250313T032541_R018_T47NQH_20250313T091913']",135.2387,96.9742,0.0,25.4471,0.0,149.4111,107.1366,0.0,51.5972
88-VSD,ปัตตานี,257.66,2026-03,GOOD,single_scene_good,100.0,1,['S2A_MSIL2A_20260330T033201_R018_T47NQH_20260330T081616'],83.1565,142.4289,0.0,32.0746,0.0,94.57,161.9777,0.0,38.7177
